_id,AREA_NAME,HOOD_ID,year,ASSAULT_RATE,AUTOTHEFT_RATE,BIKETHEFT_RATE,BREAKENTER_RATE,HOMICIDE_RATE,ROBBERY_RATE,SHOOTING_RATE,THEFTFROMMV_RATE,THEFTOVER_RATE,population
126,York University Heights,27,2016,1264.6698,381.8532104,87.58100891,346.8208008,7.006481171,241.723587,17.51620293,476.4407043,133.1231384,2854.5000442012615
126,York University Heights,27,2017,1184.29248,322.0444641,114.2738419,363.5986023,3.462843657,259.7132874,34.62843704,567.9063721,131.5880585,2887.8001488281
126,York University Heights,27,2018,1213.260376,311.0047913,123.0348587,416.9514771,3.417634964,311.0047913,27.34107971,577.5803223,126.4524918,2926.00011524649
126,York University Heights,27,2019,1279.837524,497.7145691,60.94464111,375.8252869,0,277.6366882,20.31488037,538.3443604,104.9602203,2953.499900663953
126,York University Heights,27,2020,1172.138916,631.6713867,131.7389526,354.6817932,3.37792182,158.7623291,40.5350647,885.015564,141.8727264,2960.3999599651547
126,York University Heights,27,2021,1121.615723,586.2221069,60.99420547,386.2966309,20.33140182,135.5426788,47.43993759,677.7133789,108.4341431,2951.0998572191024
126,York University Heights,27,2022,1123.0271,775.6643677,113.723785,428.3016357,10.11736107,171.9951477,43.84189987,719.1356992,198.9747772,2965.200038360606
126,York University Heights,27,2023,1368.030273,879.6869507,53.51707458,729.170166,NA,354.5506287,20.06890297,595.3774414,133.7926941,2989.6999216478594
127,Glenfield-Jane Heights,25,2014,935.0222778,142.1486511,31.58859062,113.7189255,0,154.7840881,25.27087212,249.5498657,22.11201286,3165.6999734429214
127,Glenfield-Jane Heights,25,2015,989.4353638,162.7780762,89.3683548,114.9021759,0,153.2028961,54.25936127,150.0111694,22.3420887,3133.1000623367854
127,Glenfield-Jane Heights,25,2016,1013.122375,209.0569916,32.16261292,96.48783875,3.216261387,228.3545532,70.75775146,283.0310059,28.94635201,3109.199912794345
127,Glenfield-Jane Heights,25,2017,917.1390381,162.4100342,41.39863586,133.7494354,6.369020939,168.7790527,66.87471771,194.2551422,22.29157448,3140.19999188605
127,Glenfield-Jane Heights,25,2018,965.6821289,213.8970184,25.16435432,119.5306854,0,166.7138519,78.63861084,257.9346313,34.60098648,3179.0999420244116
127,Glenfield-Jane Heights,25,2019,1094.61731,274.4339905,24.94854355,112.2684479,6.237135887,155.9283905,96.67560577,230.7740326,37.42281723,3206.600122192476
127,Glenfield-Jane Heights,25,2020,887.1595459,373.540863,46.69260788,158.7548676,3.112840414,155.6420288,105.8365784,432.6848145,59.14397049,3212.499953555423
127,Glenfield-Jane Heights,25,2021,984.6211548,331.3328247,18.754688260000002,128.1570435,15.6289072,90.6476593,59.3898468,300.0750122,21.88047028,3199.200001588266
127,Glenfield-Jane Heights,25,2022,880.9613037,501.1829224,15.50339524,105.8398743,9.338811874,96.50106049,31.12937355,251.1550029,34.24230957,3212.399895561951
127,Glenfield-Jane Heights,25,2023,1013.922058,368.9808044,15.50339508,133.3291931,NA,96.12104797,43.40950775,167.436676,83.71833801,3225.0999711459085
128,Broadview North,57,2014,409.8360596,16.72800255,33.4560051,117.0960159,0,75.27600861,0,125.460022,NA,1195.600017427066
128,Broadview North,57,2015,487.4359131,33.61627197,75.63660431,176.4854126,0,33.61627197,0,201.6976166,16.80813599,1189.9000143656012
128,Broadview North,57,2016,387.5315857,58.97219849,134.7935944,134.7935944,0,92.67060089,8.424599648,202.1903992,16.8491993,1187.0000200605584
128,Broadview North,57,2017,476.4292908,50.15045166,83.58408356,200.6018066,8.358408928,41.79204178,8.358408928,100.3009033,8.358408928,1196.399992626146
128,Broadview North,57,2018,471.2301636,49.60317612,8.267195702,66.13756561,8.267195702,57.87036896,0,132.2751312,8.267195702,1209.5999874996116
128,Broadview North,57,2019,566.0377197,24.6103363,106.6447906,205.0861359,0,41.01722717,0,213.2895813,8.203445435,1219.000034778071
128,Broadview North,57,2020,508.5718994,57.41940689,287.0970459,205.0693207,0,24.60831833,0,262.4887085,49.21663666,1219.0999949691675
128,Broadview North,57,2021,453.4212646,90.68425751,82.44023132,148.3924103,8.244023323,82.44023132,8.244023323,181.368515,8.244023323,1213.0000133213869
128,Broadview North,57,2022,493.7052612,123.4263153,196.7213115,139.8831635,8.228421211,16.45684242,16.45684242,270.4918033,24.68526268,1215.2999920269028
128,Broadview North,57,2023,663.9344482,139.3442688,90.1639328,180.3278656,NA,24.59016418,NA,229.508194,24.59016418,1219.9999596285445
129,Leaside-Bennington,56,2014,232.0320129,63.80880737,150.820816,226.2312164,0,40.60560226,0,382.8528442,52.20720291,1723.9000558616451
129,Leaside-Bennington,56,2015,163.4273071,81.71365356,134.2438507,175.1006775,5.836689472,64.20358276,5.836689472,204.2841339,29.18344688,1713.2999678485187
129,Leaside-Bennington,56,2016,234.3978882,17.57984161,222.6779938,193.3782654,0,46.87957764,0,111.3389969,17.57984161,1706.500016155009
129,Leaside-Bennington,56,2017,219.8183594,23.13877487,98.33979034,167.7561188,0,75.20101929,0,254.5265198,23.13877487,1728.700009577089
129,Leaside-Bennington,56,2018,204.8014526,227.5571747,130.8453674,193.4235992,0,45.51143646,0,164.9789581,17.06678772,1757.8000323226222
129,Leaside-Bennington,56,2019,174.1181793,174.1181793,146.0345917,252.7521973,0,11.23343086,0,258.3688965,39.31700897,1780.3999630956398
129,Leaside-Bennington,56,2020,162.0473785,240.2771606,268.2163696,223.5136414,0,44.70272827,0,240.2771606,33.5270462,1789.6000705744214
129,Leaside-Bennington,56,2021,279.7672424,481.199646,156.66964720000001,218.2184448,0,16.78603363,5.595344543,223.8137817,16.78603363,1787.1999441775963
129,Leaside-Bennington,56,2022,183.1298523,438.4017639,54.99037668,227.5249786,0,22.19755745,5.549389362,340.9403354,16.64816856,1802.000033612215
129,Leaside-Bennington,56,2023,208.9634247,615.8922119,65.9884491,269.4528503,NA,27.49518776,NA,296.9480286,49.49134064,1818.5000583023084
130,Thorncliffe Park,55,2014,416.168396,62.18608093,47.8354454,162.6405182,14.35063362,76.53671265,4.78354454,124.3721619,43.05190277,2090.4999234973143
130,Thorncliffe Park,55,2015,500.3540344,56.64385223,23.60160446,127.4486694,4.720321178,47.20320892,4.720321178,80.24545288,28.32192612,2118.499956278158
130,Thorncliffe Park,55,2016,413.7610474,23.24500275,69.73500824,111.5760117,4.649000645,74.38401031,4.649000645,139.4700165,51.13900375,2150.9999686838573
130,Thorncliffe Park,55,2017,459.4954834,41.35459137,45.94954681,87.30413818,18.37981987,41.35459137,9.189909935,114.8738708,41.35459137,2176.299955334882
130,Thorncliffe Park,55,2018,422.1324463,59.00776291,13.61717606,108.9374084,0,18.15623474,13.61717606,136.1717529,18.15623474,2203.1000179007087
130,Thorncliffe Park,55,2019,544.0647583,67.44604492,35.97122192,125.8992844,0,58.45323563,35.97122192,121.4028778,22.4820137,2223.99995871962
130,Thorncliffe Park,55,2020,439.1664734,89.62580872,67.21936035,183.7329102,8.962581635,22.40645218,40.33161545,116.5135574,17.92516327,2231.500033262785
130,Thorncliffe Park,55,2021,530.9814453,71.9974823,76.49732208,157.4944916,0,62.9977951,13.49952793,152.9946442,NA,2222.2998759086768
130,Thorncliffe Park,55,2022,509.7705994,147.5651703,71.08583615,236.9986115,0,84.9617691,13.41501617,271.0147503,44.71672058,2236.3000167953587
130,Thorncliffe Park,55,2023,568.6867065,244.3575592,44.42864609,217.7003784,NA,53.31437683,17.77145958,146.6145325,35.54291916,2250.7999314381723
131,O'Connor-Parkview,54,2014,955.8321533,115.5401535,47.26642609,278.3467407,5.251824856,152.3029327,26.25912476,325.6131592,57.77007675,1904.0999967582907
131,O'Connor-Parkview,54,2015,845.899231,63.04838943,57.7943573,157.6209717,0,68.30242157,15.76209736,462.3548584,31.52419472,1903.299992478655
131,O'Connor-Parkview,54,2016,665.5137939,36.68186188,31.44159698,178.1690521,0,146.7274475,5.240266323,440.182373,31.44159698,1908.300040721365
131,O'Connor-Parkview,54,2017,684.6118164,51.86452866,46.6780777,202.2716675,5.186452866,93.3561554,10.37290573,160.7800446,10.37290573,1928.0999368973207
131,O'Connor-Parkview,54,2018,680.5853882,97.22648621,46.05465317,133.0467682,0,35.8202858,25.58591843,399.1403198,30.7031002,1954.20005051469
131,O'Connor-Parkview,54,2019,725.3728027,142.0310364,25.36268616,284.0620728,0,60.87044907,20.29014969,253.6268616,35.50775909,1971.400078245586
131,O'Connor-Parkview,54,2020,577.3028564,101.2812042,30.38436127,126.6015091,0,96.21714783,5.064060211,394.9967041,50.64060211,1974.7000856862553
131,O'Connor-Parkview,54,2021,583.8452759,218.3073578,35.53840637,192.9227753,5.076915264,60.92298508,10.15383053,329.9994812,10.15383053,1969.699931591071
131,O'Connor-Parkview,54,2022,813.8300781,202.1938019,35.17411185,237.577713,0,40.43875885,15.16453552,211.0446711,45.49360657,1978.2999465426121
131,O'Connor-Parkview,54,2023,668.3081055,306.5172729,40.19898605,221.0944214,5.024873257,15.07461929,NA,190.9451752,30.14923859,1990.100058722092
132,Henry Farm,53,2014,423.2659607,95.57618713,27.30748177,259.4210815,0,47.78809357,0,395.9584961,27.30748177,1464.8000490628633
132,Henry Farm,53,2015,407.4768677,77.61464691,12.93577385,168.1650543,6.467886925,38.80732346,25.8715477,239.3118134,19.40366173,1546.100036441406
132,Henry Farm,53,2016,447.3587341,61.28202057,6.128201962,73.53842163,0,36.76921082,0,269.6408997,6.128201962,1631.8000395557717
132,Henry Farm,53,2017,426.3900757,86.43041992,17.28608513,161.336792,5.762028217,69.14434052,5.762028217,132.5266418,51.85825348,1735.5000554015005
132,Henry Farm,53,2018,412.3263855,86.80555725,5.425347328,119.3576355,5.425347328,54.25347137,10.85069466,130.2083282,27.12673569,1843.2000151491638
132,Henry Farm,53,2019,442.0230408,118.2154617,30.83881569,200.452301,0,35.97861862,20.55920982,431.7434082,66.81743622,1945.5999362465814
132,Henry Farm,53,2020,427.6445007,103.2245407,58.98545074,162.2099915,0,29.49272537,14.74636269,196.6181641,29.49272537,2034.400064950958
132,Henry Farm,53,2021,469.3055115,156.4351807,90.06873322,113.7710342,0,37.92367935,0,474.04599,28.44275856,2109.500050054281
132,Henry Farm,53,2022,435.4531555,140.6150818,30.72601176,163.2949219,0,54.43164444,9.071940422,364.3227109,45.35970306,2204.599938879074
132,Henry Farm,53,2023,469.6690369,294.0918274,35.11544037,109.7357559,4.389430046,57.06259155,NA,390.6593018,43.89430237,2278.2000002862014
133,Bayview Village,52,2014,404.3060913,121.7789459,38.96926117,228.9444275,0,14.61347389,0,414.0484314,38.96926117,2052.9000622553817
133,Bayview Village,52,2015,500.874176,66.15319061,51.97750854,160.6577454,0,23.62614059,4.725227833,108.6802444,42.52705383,2116.2999627275653
133,Bayview Village,52,2016,356.3922119,63.96783447,114.2282715,150.7813263,0,50.26044083,0,191.9035034,22.84565544,2188.6000141295453
133,Bayview Village,52,2017,266.5126953,93.27944183,53.30253601,177.6751251,0,39.97690201,0,133.2563477,31.09314537,2251.299883949656
133,Bayview Village,52,2018,267.1492615,38.77973175,64.63288879,215.4429474,4.308858871,25.85315323,4.308858871,129.2657776,30.16201401,2320.7999772067496
133,Bayview Village,52,2019,293.8583679,159.5231171,37.78178787,155.3251343,0,62.96965027,4.197976589,218.2947845,50.37571716,2382.099938151872
133,Bayview Village,52,2020,288.3268738,119.449707,189.4719543,123.5686646,4.118955612,74.1411972,4.118955612,243.0183716,49.42746353,2427.800054758545
